"","Subject","Condition","ListNum","Block","Recall","Direction","Jol"
"647",105,"A",7,1,0,"F",76
"648",105,"A",8,1,0,"F",90
"649",105,"A",9,1,0,"F",86
"650",105,"A",10,1,1,"F",98
"651",105,"A",11,1,1,"F",74
"652",105,"A",12,1,1,"F",57
"653",105,"A",13,1,0,"F",87
"654",105,"A",14,1,1,"F",15
"655",105,"A",15,1,0,"F",77
"656",105,"A",16,1,0,"F",30
"657",105,"A",17,1,1,"F",43
"658",105,"A",18,1,1,"F",46
"659",105,"A",19,1,1,"F",90
"660",105,"A",20,1,1,"F",34
"661",105,"A",21,1,1,"B",78
"662",105,"A",22,1,0,"B",67
"663",105,"A",23,1,1,"B",97
"664",105,"A",24,1,0,"B",90
"665",105,"A",25,1,0,"B",13
"666",105,"A",26,1,0,"B",34
"667",105,"A",27,1,0,"B",67
"668",105,"A",28,1,0,"B",91
"669",105,"A",29,1,1,"B",56
"670",105,"A",30,1,0,"B",72
"671",105,"A",31,1,0,"B",21
"672",105,"A",32,1,0,"B",87
"673",105,"A",33,1,0,"B",90
"674",105,"A",34,1,0,"B",34
"675",105,"A",35,1,0,"B",4
"676",105,"A",36,1,0,"B",89
"677",105,"A",37,1,1,"B",13
"678",105,"A",38,1,0,"B",45
"679",105,"A",39,1,1,"B",80
"680",105,"A",40,1,0,"B",99
"681",105,"A",41,1,0,"S",35
"682",105,"A",42,1,0,"S",79
"683",105,"A",43,1,1,"S",86
"684",105,"A",44,1,0,"S",89
"685",105,"A",45,1,0,"S",58
"686",105,"A",46,1,0,"S",23
"687",105,"A",47,1,1,"S",91
"688",105,"A",48,1,1,"S",11
"689",105,"A",49,1,1,"S",86
"690",105,"A",50,1,1,"S",88
"691",105,"A",51,1,0,"S",84
"692",105,"A",52,1,1,"S",86
"693",105,"A",53,1,1,"S",82
"694",105,"A",54,1,1,"S",84
"695",105,"A",55,1,0,"S",89
"696",105,"A",56,1,1,"S",0
"697",105,"A",57,1,1,"S",87
"698",105,"A",58,1,1,"S",41
"699",105,"A",59,1,0,"S",45
"700",105,"A",60,1,0,"S",33
"701",105,"A",61,1,0,"U",56
"702",105,"A",62,1,0,"U",32
"703",105,"A",63,1,1,"U",67
"704",105,"A",64,1,0,"U",18
"705",105,"A",65,1,0,"U",32
"706",105,"A",66,1,0,"U",3
"707",105,"A",67,1,0,"U",10
"708",105,"A",68,1,0,"U",35
"709",105,"A",69,1,0,"U",56
"710",105,"A",70,1,0,"U",2
"711",105,"A",71,1,0,"U",12
"712",105,"A",72,1,0,"U",8
"713",105,"A",73,1,0,"U",43
"714",105,"A",74,1,0,"U",5
"715",105,"A",75,1,0,"U",4
"716",105,"A",76,1,0,"U",1
"717",105,"A",77,1,0,"U",31
"718",105,"A",78,1,0,"U",78
"719",105,"A",79,1,1,"U",23
