Subject,Condition,ListNum,Jol,Recall,Direction,block
25,A,q121,50,100,S,2
25,A,q122,45,100,S,2
25,A,q123,45,100,S,2
25,A,q124,30,0,S,2
25,A,q125,45,100,S,2
25,A,q126,30,100,S,2
25,A,q127,50,0,S,2
25,A,q128,50,100,S,2
25,A,q129,45,0,S,2
25,A,q130,50,100,S,2
25,A,q131,45,0,S,2
25,A,q132,30,0,S,2
25,A,q133,40,0,S,2
25,A,q134,30,0,S,2
25,A,q135,24,0,S,2
25,A,q136,20,0,S,2
25,A,q137,50,100,S,2
25,A,q138,20,100,S,2
25,A,q139,50,100,S,2
25,A,q140,30,0,S,2
25,A,q141,20,0,U,2
25,A,q142,35,0,U,2
25,A,q143,10,0,U,2
25,A,q144,10,0,U,2
25,A,q145,12,0,U,2
25,A,q146,10,0,U,2
25,A,q147,25,0,U,2
25,A,q148,10,0,U,2
25,A,q149,25,0,U,2
25,A,q150,20,0,U,2
25,A,q151,25,0,U,2
25,A,q152,20,0,U,2
25,A,q153,10,0,U,2
25,A,q154,20,0,U,2
25,A,q155,20,0,U,2
25,A,q156,10,100,U,2
25,A,q157,10,0,U,2
25,A,q158,20,100,U,2
25,A,q159,0,0,U,2
25,A,q160,10,0,U,2
29,A,q1,100,100,F,1
29,A,q2,100,100,F,1
29,A,q3,100,0,F,1
29,A,q4,75,0,F,1
29,A,q5,100,100,F,1
29,A,q6,85,0,F,1
29,A,q7,75,100,F,1
29,A,q8,100,0,F,1
29,A,q9,100,0,F,1
29,A,q10,100,100,F,1
29,A,q11,70,0,F,1
29,A,q12,100,100,F,1
29,A,q13,100,100,F,1
29,A,q14,20,100,F,1
29,A,q15,75,100,F,1
29,A,q16,100,0,F,1
29,A,q17,55,0,F,1
29,A,q18,75,100,F,1
29,A,q19,80,100,F,1
29,A,q20,100,100,F,1
29,A,q21,100,0,B,1
29,A,q22,100,0,B,1
29,A,q23,70,0,B,1
29,A,q24,45,0,B,1
29,A,q25,95,0,B,1
29,A,q26,85,100,B,1
29,A,q27,50,0,B,1
29,A,q28,80,0,B,1
29,A,q29,100,0,B,1
29,A,q30,100,100,B,1
29,A,q31,100,100,B,1
29,A,q32,100,100,B,1
29,A,q33,80,0,B,1
29,A,q34,100,0,B,1
29,A,q35,100,100,B,1
29,A,q36,100,0,B,1
29,A,q37,100,100,B,1
29,A,q38,100,0,B,1
29,A,q39,96,100,B,1
29,A,q40,100,0,B,1
29,A,q41,70,100,S,1
29,A,q42,100,100,S,1
29,A,q43,100,0,S,1
29,A,q44,100,0,S,1
29,A,q45,100,0,S,1
29,A,q46,85,100,S,1
29,A,q47,60,100,S,1
29,A,q48,100,100,S,1
29,A,q49,100,100,S,1
29,A,q50,100,0,S,1
29,A,q51,100,100,S,1
29,A,q52,70,100,S,1
29,A,q53,100,100,S,1
29,A,q54,100,100,S,1
29,A,q55,100,0,S,1
29,A,q56,100,0,S,1
29,A,q57,100,100,S,1
29,A,q58,100,100,S,1
29,A,q59,100,0,S,1
29,A,q60,100,100,S,1
29,A,q61,20,0,U,1
29,A,q62,45,0,U,1
29,A,q63,20,0,U,1
29,A,q64,0,0,U,1
29,A,q65,30,0,U,1
29,A,q66,20,0,U,1
29,A,q67,25,0,U,1
29,A,q68,45,0,U,1
29,A,q69,25,0,U,1
29,A,q70,20,0,U,1
29,A,q71,45,0,U,1
29,A,q72,35,0,U,1
29,A,q73,35,0,U,1
29,A,q74,60,0,U,1
29,A,q75,35,0,U,1
29,A,q76,60,0,U,1
29,A,q77,25,0,U,1
29,A,q78,40,0,U,1
29,A,q79,35,0,U,1
29,A,q80,30,0,U,1
29,A,q81,100,100,F,2
29,A,q82,0,0,F,2
29,A,q83,65,100,F,2
29,A,q84,80,100,F,2
29,A,q85,100,0,F,2
29,A,q86,90,100,F,2
29,A,q87,100,100,F,2
29,A,q88,100,0,F,2
29,A,q89,100,100,F,2
29,A,q90,100,100,F,2
29,A,q91,100,0,F,2
29,A,q92,95,100,F,2
29,A,q93,100,0,F,2
29,A,q94,100,100,F,2
29,A,q95,100,100,F,2
29,A,q96,100,100,F,2
29,A,q97,100,100,F,2
29,A,q98,100,100,F,2
29,A,q99,100,100,F,2
29,A,q100,100,100,F,2
29,A,q101,100,100,B,2
29,A,q102,85,0,B,2
29,A,q103,100,0,B,2
29,A,q104,0,0,B,2
29,A,q105,100,100,B,2
29,A,q106,50,0,B,2
29,A,q107,95,100,B,2
29,A,q108,100,0,B,2
29,A,q109,100,100,B,2
29,A,q110,100,0,B,2
29,A,q111,20,0,B,2
29,A,q112,100,100,B,2
29,A,q113,100,100,B,2
29,A,q114,70,0,B,2
29,A,q115,100,100,B,2
29,A,q116,100,0,B,2
29,A,q117,85,0,B,2
29,A,q118,100,100,B,2
29,A,q119,100,100,B,2
29,A,q120,100,0,B,2
29,A,q121,100,0,S,2
29,A,q122,100,100,S,2
29,A,q123,100,100,S,2
29,A,q124,100,100,S,2
