Subject,Block,ListNum,cue_target,cue_target,Task,RT,Direction
3,1,9,Attorney - Law,Attorney ,JOL,2429,F
3,1,10,Fantastic - Great,Fantastic ,JOL,6078,F
3,1,11,Latch - Key,Latch ,JOL,3482,F
3,1,12,Chili - Hot,Chili ,JOL,3512,F
3,1,13,Racket - Ball,Racket ,JOL,1818,F
3,1,14,Chore - Work,Chore ,JOL,6052,F
3,1,15,Famine - Hunger,Famine ,JOL,3714,F
3,1,16,Drowsy - Sleep,Drowsy ,JOL,1933,F
3,1,17,Stench - Smell,Stench ,JOL,1946,F
3,1,18,Attire - Clothes,Attire ,JOL,5403,F
3,1,19,Pilot - Plane,Pilot ,JOL,3881,F
3,1,20,Blaze - Fire,Blaze ,JOL,2734,F
3,1,21,Bad - Delinquent,Bad ,JOL,1923,B
3,1,22,Stomach - Digestion,Stomach ,JOL,4456,B
3,1,23,Money - Wage,Money ,JOL,4475,B
3,1,24,News - Editor,News ,JOL,3859,B
3,1,25,Sting - Hornet,Sting ,JOL,1717,B
3,1,26,Cold - Bitter,Cold ,JOL,4943,B
3,1,27,Plant - Root,Plant ,JOL,2920,B
3,1,28,Bird - Swan,Bird ,JOL,2700,B
3,1,29,Dog - Paw,Dog ,JOL,2152,B
3,1,30,Out - Way,Out ,JOL,6142,B
3,1,31,Clean - Hygiene,Clean ,JOL,5002,B
3,1,32,Water - Bridge,Water ,JOL,3192,B
3,1,33,Rock - Geology,Rock ,JOL,1666,B
3,1,34,War - Revolution,War ,JOL,10397,B
3,1,35,Talk - Discussion,Talk ,JOL,3572,B
3,1,36,Cow - Herd,Cow ,JOL,5323,B
3,1,37,Card - Credit,Card ,JOL,2066,B
3,1,38,Flower - Orchid,Flower ,JOL,5478,B
3,1,39,Fish - Tuna,Fish ,JOL,4468,B
3,1,40,Hammer - Chisel,Hammer ,JOL,2703,B
3,1,41,Assignment - Due,Assignment ,JOL,2578,S
3,1,42,Amount - Number,Amount ,JOL,9976,S
3,1,43,Site - Location,Site ,JOL,5211,S
3,1,44,Waste - Dump,Waste ,JOL,1818,S
3,1,45,Jury - Trial,Jury ,JOL,2416,S
