Cue,Target,Concrete_1,Logsub_1,length_1,Concrete_2,Logsub_2,Length_2,Direction
CHILI,HOT,5.93,2.5832,5,5.03,3.986,3,F
RACKET,BALL,6.15,2.5798,6,6.08,3.7287,4,F
CHORE,WORK,4.53,1.716,5,3.88,4.6096,4,F
FAMINE,HUNGER,3.71,1.9138,6,4.16,2.4786,6,F
DROWSY,SLEEP,NA,1.5798,6,4.74,4.0654,5,F
STENCH,SMELL,3.68,2.0569,6,4.4,3.6275,5,F
ATTIRE,CLOTHES,NA,1.8865,6,6.63,3.7126,7,F
PILOT,PLANE,5.95,3.1339,5,5.31,3.6878,5,F
BLAZE,FIRE,4.97,2.0334,5,6.13,4.041,4,F
ASSIGNMENT,DUE,NA,2.9605,10,NA,3.3572,3,S
AMOUNT,NUMBER,3.62,3.1014,6,3.76,4.0895,6,S
SITE,LOCATION,4.5,2.9917,4,NA,3.1017,8,S
WASTE,DUMP,3.76,3.4341,5,3.36,3.1676,4,S
JURY,TRIAL,6.17,3.3389,4,4.92,3.4012,5,S
DESIGN,ARCHITECTURE,4.13,2.9175,6,NA,2.2122,12,S
BAR,GRILL,6.4,3.6421,3,NA,2.3579,5,S
LIVER,KIDNEY,6.11,2.8633,5,NA,2.6946,6,S
END,BEGIN,3.16,4.1323,3,2.38,3.4634,5,S
WIND,BLOW,5.4,3.4813,4,3.88,3.697,4,S
SODA,POP,5.96,3.0056,6,3,3.5368,4,S
CHEESE,WINE,6.14,3.2993,6,6.4,3.4884,4,S
TOILET,BATHROOM,6.4,3.1688,6,NA,3.4978,8,S
SALAD,LETTUCE,6.83,2.939,5,5.67,2.2405,7,S
FOOT,SHOE,3.46,3.5201,4,5.96,3.1906,4,S
FUTURE,PAST,2.35,3.7226,6,2.86,3.8002,4,S
DEFINITION,MEANING,3.58,2.4728,10,2.05,3.2799,7,S
BEE,HONEY,5.93,2.7235,3,5.91,4.1854,5,S
CHILD,BABY,5.72,3.9053,5,5.77,4.4146,4,S
ROUND,CIRCLE,4.34,3.5307,5,5.14,3.0406,6,S
CLUTTER                  ,PUSHER                   ,NA,1.6902,7,NA,1.8129,6,U
SACKING                  ,DIETARY                  ,NA,0.9542,7,NA,1.2788,7,U
HUNGRY,PARK,4.24,3.5946,5,5.45,3.5657,4,U
WOMAN,LIFT,5.68,4.3457,5,3.7,3.241,4,U
BELT,SOON,5.98,3.0945,4,2.54,4.1186,4,U
FLOOR,DISCOVER,5.47,3.7104,5,3.25,2.7889,8,U
Business,Death,4.05,4.2141,8,3.86,4.0434,5,U
SIGHT,DEBATE,3.84,3.364,5,2.5,2.6767,6,U
BRONZE                   ,ARTERY                   ,6.57,2.1584,6,6.28,2.4346,6,U
HAND,FIX,5.6,4.1542,4,3.1,3.6461,3,U
POSITION,MACHINE,3.31,3.5655,8,6.75,3.5544,7,U
CAR,HAPPY,6.35,4.3916,3,3.51,4.2303,5,U
TUCK                     ,ALLOW                    ,NA,2.6096,4,2.64,3.3549,5,U
LION,ART,6.14,2.8943,4,4.36,3.5577,3,U
ACCIDENT,STRONG,4.26,3.6177,8,3.24,3.6465,6,U
RIDDLE,SUGAR,3.95,2.3655,6,6.35,3.2849,5,U
ADD,VALLEY,2.95,3.2271,3,6.66,3.1059,6,U
WOULD                    ,CASH                     ,NA,4.955,5,6.28,3.5676,4,U
SICK                     ,HIDE                     ,3.89,3.9262,4,5.45,3.5508,4,U
VASE                     ,KING                     ,NA,2.2945,4,5.54,3.8191,4,U
LONG,EXTENSION,3.68,4.537,4,NA,2.4409,9,B
GAME,CLUE,4.72,4.0765,4,3.71,2.9538,4,B
PLANT,CACTUS,5.98,3.1489,5,NA,2.1732,6,B
TIE,SHOELACE,5.55,3.3555,3,NA,1.5911,8,B
MYSTERY,DETECTIVE,NA,3.0689,7,NA,NA,9,B
END,ADJOURN,3.16,4.1323,3,NA,1.8261,7,B
DOG,FURRY,5.75,3.9928,3,4.22,2.0899,5,B
TRASH,LITTER,5.76,3.0596,5,4.71,2.3032,6,B
RED,CHERRY,4.97,3.8781,3,5.86,2.8414,6,B
HEAD,SCALP,5.98,4.2776,4,6.18,2.2765,5,B
CAR,DRIVER,6.35,4.3916,3,NA,3.3833,6,B
CUT,CHOP,4.15,4.0689,3,4.08,2.842,4,B
DONKEY,MULE,6.67,2.4378,6,5.39,2.5551,4,B
PAPER,DOCUMENT,5.96,3.722,5,NA,2.7126,8,B
SMELL,INCENSE,4.4,3.6275,5,4.88,1.9685,7,B
EAT,DINE,4.75,4.1088,3,4.36,2.3424,4,B
SCISSORS,SHEARS,5.92,2.534,8,NA,1.6902,6,B
FIGHT,FEUD,4.16,4.011,5,3.08,1.8261,4,B
COLD,CHILL,4.67,3.8221,4,4.4,2.9186,5,B
LOVE,AFFECTION,3.51,4.7548,4,3.7,2.6355,9,B
FLIP,TURN,NA,2.8627,4,3.4,4.194,4,B
WINDSHIELD,CAR,NA,2.2253,10,6.35,4.3916,3,F
VILLAIN,BAD,NA,2.3284,7,3,4.4441,3,F
PENGUIN,BIRD,6.47,2.1703,7,5.77,3.3653,4,F
ACTRESS,STAR,NA,2.9128,7,5.59,3.618,4,F
THIMBLE,THREAD,5.18,1.1761,7,6.04,2.4216,6,F
REVENGE,EVEN,2.78,2.9877,7,2.75,4.65,4,F
BALLOON,POP,6.1,2.6464,7,3.85,NA,3,F
STRAWBERRY,FRUIT,7,2.4518,10,6,3.0449,5,F
FAVORITE,BEST,NA,3.4819,8,2.67,4.3144,4,F
PANTHER,CAT,6.83,NA,7,6.21,3.5294,3,F
BREAKABLE,GLASS,NA,0.9542,9,6.31,3.4909,5,F
COFFIN,DEAD,5.91,2.6646,6,4.25,4.3598,4,F
AIRCRAFT,PLANE,NA,2.6839,8,5.31,3.6878,5,F
SARDINE,FISH,5.93,1.6721,7,5.84,3.6293,4,F
LEAGUE,BASEBALL,NA,2.9782,6,5.75,3.1103,8,F
BANKER,MONEY,6.38,2.3874,6,5.77,4.5143,5,F
TRUTHFUL,HONEST,2.43,2.0414,8,2.74,3.567,6,F
NAP,SLEEP,NA,2.8102,3,4.74,4.0654,5,F
BRAWL,FIGHT,4.72,2.0374,5,4.16,4.011,5,F
SHAVE,RAZOR,4.54,2.847,5,6.32,2.5465,5,S
EQUAL,RIGHTS,2.68,2.8344,5,NA,3.1793,6,S
JAR,MASON,5.77,2.6284,3,NA,NA,5,S
WAX,CANDLE,5.47,2.6646,3,5.37,2.6128,6,S
BRACELET,WRIST,5.98,2.601,8,6.45,2.7226,5,S
CARBON,ELEMENT,5.07,2.4281,6,NA,2.5302,7,S
AWAY,GONE,2.53,4.5714,4,3.02,4.18,4,S
DRINK,WATER,4.95,3.4291,5,6.27,4.0599,5,S
GROUND,EARTH,5.44,3.5678,6,5.77,3.7054,5,S
LONELY,ALONE,2.53,3.3276,6,3.81,4.1969,5,S
WET,DRY,4.74,3.3012,3,3.36,3.395,3,S
SEATBELT,SAFETY,6.53,1.6812,8,4.27,3.2175,6,S
LIE,TRUTH,4.04,3.7877,3,2.72,3.9913,5,S
COMMUNICATION,PHONE,NA,2.7235,13,6.02,4.1385,5,S
REEL,ROD,4.85,2.2227,4,6.15,2.7388,3,S
TICK,FLEA,5.69,2.5694,4,6.12,2.2304,4,S
NOISE,LOUD,5.29,3.2504,5,3.93,3.3079,4,S
HAVE,OWN,2.44,5.4973,4,3.05,4.3696,3,S
TEMPER,TANTRUM,2.7,2.7657,6,NA,1.6628,7,S
TAN,SUN,4.18,2.6435,3,6.23,3.5507,3,S
MAROON                   ,JUSTICE                  ,4.82,1.7924,6,2.18,3.2813,6,U
CLOTH,STRETCH,5.76,2.4942,5,4.63,2.8745,6,U
STEAK,GIVE,6.47,2.9186,5,3.18,4.775,4,U
ELECTION,MAZE,4.05,2.749,8,5.02,2.1173,4,U
CHARM,VEHICLE,4.2,2.9004,5,6.45,3.0622,7,U
OBTAIN,MEAT,2.88,2.281,6,6.93,3.3477,4,U
ABLE,CRACKLE,2.91,3.9115,4,4.23,1.5563,7,U
SHAKE,Shell,5.1,3.3058,5,5.53,2.6385,4,U
FICTION,LISTEN,3,2.4928,7,4.04,4.4438,6,U
JOKE,KEYS,3.48,3.5711,4,6.08,3.4153,4,U
CLOTHES,CAKE,6.63,3.7126,7,6.11,3.3615,4,U
HATE                     ,NAME                     ,3.86,4.0392,4,3.96,4.515,4,U
BANG,FUZZY,4.2,3.0086,4,4.4,2.4742,5,U
CLEAR                    ,MOAT                     ,3.51,3.9427,5,4.98,1.7853,4,U
TOIL                     ,LEASE                    ,3.82,1.716,4,3.67,2.5065,5,U
SIGN                     ,LOAN                     ,5.16,3.8324,4,3.74,3.006,4,U
OUNCE                    ,BOTH                     ,4.98,2.316,5,NA,4.1779,4,U
Morning,TEMPERATURE,5.11,4.3501,7,4.61,2.847,11,U
CHILDREN,MIRROR,5.78,3.9509,8,5.91,3.0913,6,U
SCAR                     ,MAIN                     ,5.48,2.6365,4,2.89,3.3385,4,U
